RotationInterval(0-1s),PWMDutyCycle(0-1)
0.215731,0.6716
0.224902,0.6713
0.290995,0.6711
0.252341,0.6708
0.166601,0.6706
0.102474,0.6703
0.110125,0.6701
0.197114,0.6698
0.157954,0.6696
0.218806,0.6694
0.186780,0.6691
0.155644,0.6689
0.210217,0.6686
0.267931,0.6684
0.319227,0.6681
0.746544,0.6679
0.526196,0.6676
0.298383,0.6674
0.243431,0.6672
0.225608,0.6669
0.191938,0.6667
0.234077,0.6664
0.215869,0.6662
0.296722,0.6659
1.000000,0.6657
1.000000,0.6637
0.100605,0.6967
1.000000,0.6352
0.154091,0.6899
0.143428,0.6669
0.338079,0.6545
0.281826,0.6679
0.154638,0.6676
0.164272,0.6674
0.467997,0.6672
0.325567,0.6669
0.254879,0.6667
0.221827,0.6664
0.217109,0.6662
0.136994,0.6659
0.181576,0.6657
0.180473,0.6654
0.201706,0.6652
0.236314,0.6650
0.184893,0.6647
0.537302,0.6645
0.304543,0.6642
0.256064,0.6640
0.230283,0.6637
0.676844,0.6635
0.541863,0.6632
1.000000,0.6630
0.165559,0.6830
1.000000,0.6601
0.216982,0.6762
0.106710,0.6933
0.204988,0.6479
0.327079,0.6611
0.289432,0.6608
0.156177,0.6606
0.168195,0.6603
0.192338,0.6601
0.207956,0.6598
0.209996,0.6596
0.271126,0.6593
0.238786,0.6591
0.293866,0.6589
0.733531,0.6586
0.291014,0.6584
0.333272,0.6581
0.500654,0.6579
0.283807,0.6576
0.298956,0.6574
0.270903,0.6571
0.298404,0.6569
0.309511,0.6567
0.747962,0.6564
0.413326,0.6562
1.000000,0.6559
0.155743,0.6694
0.145165,0.6862
1.000000,0.6415
1.000000,0.6628
0.159634,0.6957
0.104788,0.6794
0.118483,0.6735
0.697025,0.6545
0.397573,0.6496
1.000000,0.6447
0.098298,0.6889
0.139921,0.6725
0.252197,0.6669
1.000000,0.6479
0.112471,0.6821
0.157607,0.6659
0.227709,0.6601
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.037244,0.6559
0.067244,0.6342
0.064191,0.6535
0.107853,0.6352
0.193294,0.6349
0.399427,0.6347
1.000000,0.6344
1.000000,0.6496
0.058803,0.6821
0.150765,0.6278
0.180250,0.6471
0.310905,0.6288
1.000000,0.6286
0.046203,0.6752
1.000000,0.6215
0.062896,0.6684
0.186048,0.6525
1.000000,0.6405
1.000000,0.6618
0.108922,0.6947
0.096246,0.6462
0.080014,0.6725
0.093458,0.6225
0.351437,0.6222
1.000000,0.6220
0.055080,0.6879
0.087755,0.6396
0.087507,0.6659
0.172642,0.6161
