RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.4129
1.000000,0.4965
1.000000,0.4908
1.000000,0.5387
0.014899,0.5582
1.000000,0.4742
1.000000,0.5216
1.000000,0.5336
0.097969,0.6420
0.137681,0.6339
1.000000,0.4930
0.003230,0.6305
0.080026,0.5673
0.005325,0.5648
0.008062,0.5709
1.000000,0.4515
1.000000,0.5526
1.000000,0.5346
1.000000,0.5270
0.008390,0.6716
0.114996,0.6554
0.323320,0.5004
0.019210,0.5597
0.049547,0.6435
0.003346,0.6320
0.055509,0.6044
0.024653,0.6537
1.000000,0.0000
1.000000,0.0000
0.000326,0.6523
1.000000,0.4928
0.052828,0.4745
1.000000,0.0000
0.015565,0.5856
1.000000,0.4581
1.000000,0.4969
0.004717,0.6835
0.016439,0.6869
1.000000,0.5021
1.000000,0.5228
0.001941,0.6278
0.001328,0.7165
0.543860,0.5306
0.074326,0.5587
0.011716,0.6669
0.029679,0.5934
1.000000,0.0000
1.000000,0.5023
0.030067,0.6166
0.061966,0.5958
1.000000,0.5214
0.011931,0.5736
0.009191,0.6215
1.000000,0.0000
0.178999,0.5634
0.007532,0.5844
1.000000,0.4872
0.371558,0.5502
0.079423,0.5919
0.039067,0.5805
0.245261,0.5531
1.000000,0.5016
1.000000,0.0000
0.022836,0.5709
0.005325,0.5612
1.000000,0.3661
1.000000,0.4562
0.041372,0.5929
1.000000,0.5092
1.000000,0.4901
0.089097,0.6156
0.007120,0.6168
1.000000,0.5236
0.060774,0.5556
0.015004,0.6049
0.009956,0.6105
1.000000,0.0000
0.001588,0.5702
1.000000,0.4686
1.000000,0.4569
0.007118,0.5812
0.001968,0.6567
1.000000,0.5172
1.000000,0.5184
0.001796,0.6286
0.008862,0.6486
0.069279,0.5846
1.000000,0.5079
1.000000,0.5299
0.033057,0.6022
0.004312,0.6540
0.231219,0.5492
1.000000,0.4637
0.013575,0.5797
0.013932,0.6625
0.058523,0.5448
1.000000,0.0000
0.244750,0.5480
0.021388,0.6278
0.049000,0.5795
0.061610,0.5858
0.019881,0.5741
0.001706,0.5958
0.023195,0.5924
0.006964,0.5714
0.056271,0.5954
1.000000,0.0000
1.000000,0.0000
0.007191,0.7277
0.104758,0.5004
0.139213,0.5651
1.000000,0.0000
0.048397,0.5568
0.058522,0.5687
0.084839,0.5643
1.000000,0.0000
1.000000,0.0000
1.000000,0.5013
1.000000,0.5062
1.000000,0.4598
1.000000,0.5092
0.026165,0.5937
0.000106,0.6190
1.000000,0.5321
1.000000,0.5248
0.000925,0.6237
0.002805,0.6674
1.000000,0.5377
1.000000,0.5136
1.000000,0.5258
0.019828,0.5878
0.000774,0.6862
1.000000,0.0000
0.042036,0.5619
0.006762,0.6291
1.000000,0.3888
0.070867,0.5465
0.001082,0.7204
0.349283,0.5079
0.004748,0.5629
0.008095,0.6442
0.005989,0.5832
0.058442,0.5990
1.000000,0.4899
0.043214,0.5871
0.005229,0.6425
0.061168,0.5712
1.000000,0.5368
0.011572,0.5597
0.013197,0.6469
0.037837,0.6022
0.048460,0.5231
0.065534,0.5976
0.040714,0.5629
0.006488,0.6010
0.033899,0.5763
1.000000,0.0000
0.014404,0.6149
0.058388,0.6554
0.027051,0.4542
1.000000,0.0000
1.000000,0.0000
0.001747,0.6662
0.086139,0.5585
1.000000,0.4850
0.003640,0.6388
0.002463,0.6669
0.193063,0.5324
0.031286,0.6071
0.017628,0.5690
1.000000,0.5092
0.285085,0.6239
0.230908,0.5499
0.125709,0.5807
0.148744,0.6335
1.000000,0.4904
0.348060,0.5990
0.296317,0.5790
0.000775,0.6923
0.092561,0.6530
1.000000,0.4996
1.000000,0.5433
0.088259,0.5937
0.013883,0.7016
