RotationInterval(0-1s),PWMDutyCycle(0-1)
0.102497,0.5908
0.094256,0.5889
0.101638,0.5879
0.113184,0.5869
0.115113,0.5840
0.116261,0.5830
0.117004,0.5830
0.120297,0.5820
0.156458,0.5820
0.146214,0.5801
0.173107,0.5801
1.000000,0.5781
0.080434,0.6328
0.166391,0.5928
0.169569,0.5859
0.167016,0.5850
0.169071,0.5830
0.177432,0.5791
0.197481,0.5781
0.207093,0.5762
0.202478,0.5752
0.183606,0.5752
0.197761,0.5752
0.224020,0.5742
0.281283,0.5732
1.000000,0.5693
1.000000,0.4990
1.000000,0.5098
1.000000,0.5781
0.114059,0.6221
0.137278,0.5771
0.135490,0.5811
0.139491,0.5801
0.139289,0.5781
0.170948,0.5752
0.203338,0.5742
0.227753,0.5713
1.000000,0.5693
0.088682,0.6289
0.102551,0.5879
0.097010,0.5869
0.113671,0.5840
0.134680,0.5820
0.143746,0.5781
0.161162,0.5771
0.178541,0.5752
0.216158,0.5742
1.000000,0.5713
0.038631,0.6299
0.146235,0.5918
0.118608,0.5859
0.140468,0.5840
0.181903,0.5811
1.000000,0.5762
0.074766,0.6328
0.143847,0.5918
0.119066,0.5859
0.114520,0.5850
0.112202,0.5830
0.118976,0.5801
0.120032,0.5791
0.118350,0.5791
0.143030,0.5781
0.164631,0.5771
0.182871,0.5762
0.463635,0.5742
1.000000,0.5586
0.112002,0.6309
0.095589,0.5830
0.096243,0.5859
0.142115,0.5840
0.161957,0.5820
0.164599,0.5781
0.158904,0.5771
0.150639,0.5762
0.154046,0.5762
0.177327,0.5762
1.000000,0.5742
0.087346,0.6309
0.129324,0.5908
0.125922,0.5869
0.151204,0.5850
0.150235,0.5820
0.167709,0.5791
0.210162,0.5771
0.243424,0.5742
0.294554,0.5713
1.000000,0.5684
1.000000,0.5010
1.000000,0.5098
1.000000,0.5781
0.092499,0.6221
0.124973,0.5781
0.125652,0.5820
0.136097,0.5811
0.131031,0.5791
0.159768,0.5762
0.181267,0.5752
0.192122,0.5732
0.348193,0.5723
1.000000,0.5625
0.082194,0.6299
0.112729,0.5869
0.106200,0.5859
0.124429,0.5830
0.127809,0.5820
0.135814,0.5791
0.146811,0.5771
0.176370,0.5762
0.221581,0.5742
