RotationInterval(0-1s),PWMDutyCycle(0-1)
0.004948,0.1661
0.007696,0.1338
0.008234,0.1297
0.006558,0.1150
0.006735,0.1451
0.008387,0.1077
0.007631,0.1497
0.005597,0.1641
0.005933,0.1543
0.007100,0.1580
0.008243,0.1753
0.007298,0.1685
0.006452,0.1321
0.004755,0.1272
0.006750,0.1221
0.005026,0.1368
0.006864,0.1424
0.005259,0.1138
0.006809,0.1646
0.005589,0.1653
0.002981,0.1155
0.004058,0.1026
0.008908,0.1179
0.007551,0.1707
0.008125,0.1714
0.006815,0.1578
0.009029,0.1350
0.010375,0.1497
0.008186,0.1670
0.007441,0.1062
0.006476,0.1726
0.004590,0.1724
0.005840,0.1167
0.006323,0.1018
0.008152,0.1243
0.015842,0.1455
0.019602,0.1648
0.014085,0.1678
0.008424,0.1206
0.008424,0.1011
0.013326,0.1009
0.011349,0.1712
0.007707,0.1709
0.007468,0.1394
0.005811,0.1756
0.003615,0.1509
0.004129,0.1734
0.003653,0.1341
0.005256,0.1067
0.006588,0.1436
0.005283,0.1267
0.010306,0.1053
0.013982,0.1626
0.009245,0.1206
0.011910,0.1057
0.014298,0.1263
0.011177,0.1426
0.011061,0.1306
0.009623,0.1463
0.011091,0.1744
0.012027,0.1431
0.012932,0.1507
0.013024,0.1048
0.013401,0.1690
0.011171,0.1416
0.006826,0.1404
0.006719,0.1079
0.008585,0.1372
0.008336,0.1643
0.006526,0.0979
0.008871,0.1475
0.005390,0.0977
0.006760,0.1082
0.009441,0.1306
0.009519,0.1587
0.007099,0.1087
0.009733,0.1448
0.010851,0.1612
0.009266,0.1504
0.008148,0.1228
0.007404,0.1258
0.007007,0.1685
0.006079,0.1538
0.006189,0.1624
0.006529,0.1341
0.005986,0.1045
0.010168,0.1013
0.011274,0.1590
0.009068,0.1470
0.008645,0.1167
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.036470,0.1661
0.000584,0.0728
0.005479,0.1419
0.001272,0.1419
0.000697,0.1846
0.017414,0.1221
0.011948,0.1707
0.009067,0.1277
0.008970,0.1783
0.009104,0.1158
0.012638,0.1018
0.013134,0.1504
0.011265,0.1368
0.012530,0.0994
0.010302,0.1873
0.010639,0.0523
0.018313,0.1109
0.001619,0.0637
0.003864,0.1458
0.000420,0.1553
0.021590,0.0596
0.003610,0.1179
0.004479,0.0750
0.005127,0.1509
0.000829,0.0864
0.002808,0.1917
0.017626,0.1543
0.015381,0.0645
0.021392,0.0740
0.002194,0.0720
0.003414,0.1109
0.001963,0.0679
0.007206,0.0520
0.009758,0.0676
0.008269,0.1709
0.001561,0.0654
0.003057,0.1707
0.000260,0.0672
0.000829,0.0630
0.002015,0.1880
0.012884,0.1917
0.009581,0.1839
0.007275,0.1524
0.008571,0.0723
0.012213,0.1267
0.014023,0.1460
0.015167,0.0757
0.016163,0.1946
0.008565,0.0774
0.012746,0.1514
0.011193,0.1885
0.011161,0.1043
0.019018,0.0476
0.003623,0.0630
0.002225,0.1783
0.018005,0.1409
0.017009,0.1233
0.019824,0.0606
0.000311,0.1778
0.014754,0.1639
0.011589,0.1990
0.010482,0.1402
0.008529,0.1968
0.005052,0.1966
0.004323,0.1556
0.003541,0.0557
0.006490,0.1006
0.006437,0.1629
0.005654,0.1297
0.008223,0.1060
0.010133,0.1197
0.016333,0.1448
0.019277,0.1350
0.017381,0.1465
0.016941,0.0918
0.017348,0.1580
0.011639,0.1189
0.014447,0.1011
0.018567,0.1109
0.002041,0.0696
0.003412,0.0735
0.006041,0.1065
0.002800,0.1846
0.024899,0.0691
0.002956,0.1980
0.017511,0.1372
0.017666,0.1021
0.016484,0.1683
0.013131,0.0706
0.014664,0.1934
0.007997,0.1915
0.007190,0.0799
0.011052,0.1443
0.008032,0.0659
0.012689,0.1675
0.010887,0.1321
0.010366,0.0735
0.018858,0.0733
0.003002,0.1123
0.005480,0.1726
0.002922,0.1844
0.000587,0.1490
0.002555,0.1607
0.003088,0.0686
0.008317,0.0432
0.028290,0.0762
0.024242,0.1504
0.005320,0.1013
0.005618,0.1482
0.000561,0.1128
0.019893,0.1499
0.018494,0.1165
0.000990,0.1477
0.002019,0.0400
0.005551,0.1631
0.020685,0.1551
0.016407,0.1512
0.015410,0.1353
0.016031,0.1880
0.013985,0.0549
0.000801,0.1292
0.020101,0.0840
0.000287,0.1426
0.017016,0.1524
0.014712,0.1306
0.013197,0.1619
0.010673,0.1636
0.011137,0.0659
0.014945,0.0540
0.016572,0.1731
0.013407,0.1104
0.014188,0.1553
0.015627,0.0906
1.000000,0.0833
1.000000,0.0562
0.048361,0.1570
0.021606,0.1153
0.014284,0.1419
0.008677,0.1028
0.007951,0.0694
0.011312,0.0996
0.009104,0.1250
0.004482,0.0906
0.004776,0.0955
0.006325,0.1001
0.004717,0.1304
0.003588,0.0784
0.006638,0.1389
0.004069,0.0899
0.008369,0.1192
0.010831,0.0840
0.034173,0.0828
0.049864,0.1433
0.016682,0.1736
0.003060,0.1187
0.023855,0.0913
0.004894,0.0969
0.003473,0.0901
0.003444,0.0969
0.003651,0.0996
0.003677,0.1280
0.000315,0.1248
0.019176,0.0974
0.020582,0.1421
0.016211,0.0923
0.016840,0.0833
0.018668,0.0930
0.021932,0.0940
0.000945,0.1211
0.023850,0.0830
0.002910,0.1023
0.002650,0.0779
0.005209,0.1304
0.000179,0.0806
0.006467,0.1431
0.006159,0.1311
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.033631,0.1438
0.008408,0.1219
0.007949,0.1087
0.008801,0.1023
0.007279,0.1004
0.004186,0.0969
0.004386,0.1055
0.004436,0.1131
0.003060,0.1006
0.004175,0.0969
0.003936,0.1057
0.002323,0.1123
0.001214,0.1096
0.000714,0.1040
0.001372,0.1109
0.001182,0.1023
0.021319,0.1104
0.000547,0.0950
0.000550,0.0991
0.021610,0.1106
0.022292,0.1035
0.021445,0.1096
0.021054,0.1070
0.021217,0.1070
0.023732,0.0996
0.007461,0.0987
0.015695,0.0989
0.031991,0.0933
1.000000,0.0965
1.000000,0.1013
1.000000,0.1270
1.000000,0.0000
0.027397,0.1270
0.022572,0.1055
0.018424,0.0860
0.013505,0.1050
0.013537,0.0867
0.011109,0.1028
0.008036,0.1018
0.005333,0.1035
0.005476,0.1197
0.004654,0.1194
0.003155,0.0930
0.004920,0.0972
0.005911,0.0991
0.008259,0.0899
0.012329,0.0950
0.018026,0.0940
0.026306,0.0913
0.026702,0.1045
0.018613,0.1011
0.012066,0.1126
0.009018,0.1126
0.003922,0.0962
0.004309,0.1143
0.002015,0.1057
0.001588,0.1194
0.001370,0.0867
0.002500,0.1172
0.001891,0.0904
0.009398,0.1096
0.019814,0.0921
0.018790,0.1155
0.020370,0.1045
0.019622,0.0894
0.027794,0.1009
0.031276,0.0950
0.031323,0.1099
0.028105,0.0860
0.029008,0.1060
0.021362,0.1194
0.015630,0.0940
0.015512,0.0879
0.014669,0.0894
0.013003,0.1089
0.010280,0.1165
0.007675,0.1082
0.007253,0.0923
0.004666,0.0982
0.005649,0.0889
0.007225,0.0877
0.007368,0.0838
0.008165,0.1148
0.004482,0.1060
0.003774,0.1077
0.003930,0.1072
0.003807,0.0799
0.005640,0.0991
0.003241,0.0947
0.003737,0.0901
0.004524,0.0950
0.003251,0.1165
0.001419,0.0874
0.004909,0.1167
0.003868,0.1106
0.004648,0.1101
0.011260,0.0808
0.031009,0.0918
0.073644,0.1074
0.066240,0.1099
0.039051,0.1118
0.029902,0.0943
0.026875,0.1060
0.018428,0.0886
0.013788,0.1140
0.008875,0.0969
0.008202,0.0777
0.010743,0.0987
0.009737,0.1009
0.009179,0.0921
0.011268,0.0872
0.031422,0.0860
0.042520,0.1079
0.038898,0.1255
0.031754,0.0926
0.050523,0.0779
1.000000,0.0930
1.000000,0.0747
0.018261,0.1377
0.074206,0.1099
0.033948,0.1201
