RotationInterval(0-1s),PWMDutyCycle(0-1)
0.157285,0.6088
1.000000,0.6088
0.038679,0.6606
1.000000,0.6159
0.084862,0.6552
0.245535,0.6205
0.176149,0.6288
0.189428,0.6208
0.252990,0.6186
0.187594,0.6212
0.162405,0.6161
0.173674,0.6127
0.177017,0.6127
0.166194,0.6117
0.157475,0.6098
1.000000,0.6081
0.030554,0.6603
0.256327,0.6156
0.135498,0.6286
0.165425,0.6193
0.170520,0.6168
0.180776,0.6156
0.308054,0.6147
0.196303,0.6217
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.039968,0.6628
0.046505,0.6210
0.084647,0.6176
0.108714,0.6107
0.088571,0.6139
0.086391,0.6085
0.062895,0.6068
0.069782,0.6046
0.071503,0.6037
0.071182,0.6027
0.076044,0.6015
0.085517,0.6007
0.092563,0.6005
0.102282,0.6000
0.113078,0.5998
0.119240,0.5995
0.115204,0.5990
0.107182,0.5980
0.101289,0.5968
0.111935,0.5956
0.113987,0.5956
0.115572,0.5954
0.119292,0.5951
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.045204,0.6628
0.091724,0.6212
0.139204,0.6190
0.130585,0.6083
1.000000,0.6137
0.061819,0.6618
0.153141,0.6168
0.193468,0.6254
0.167536,0.6215
0.242517,0.6171
0.195143,0.6195
0.174221,0.6156
0.191229,0.6125
0.187889,0.6127
0.166696,0.6115
0.156628,0.6088
1.000000,0.6071
0.049583,0.6603
0.162665,0.6159
0.149755,0.6252
0.157444,0.6183
0.168626,0.6161
0.180384,0.6142
0.327554,0.6137
0.191727,0.6220
0.183084,0.6127
0.160324,0.6103
0.148249,0.6090
0.141907,0.6068
0.163265,0.6056
0.192039,0.6056
0.203629,0.6066
0.213896,0.6068
1.000000,0.6073
0.085380,0.6591
0.129910,0.6168
0.128107,0.6242
0.176329,0.6168
0.279225,0.6173
0.182401,0.6220
0.142235,0.6147
0.199875,0.6100
0.165081,0.6134
0.169589,0.6103
0.156381,0.6088
0.173239,0.6071
0.229666,0.6071
0.238417,0.6105
0.255789,0.6110
1.000000,0.6117
0.096952,0.6598
0.141903,0.6183
0.127494,0.6249
0.158467,0.6168
0.194587,0.6164
0.162244,0.6161
0.131573,0.6125
0.135792,0.6088
0.182585,0.6081
0.177547,0.6100
0.194487,0.6085
0.243035,0.6083
0.214301,0.6115
1.000000,0.6095
0.070582,0.6596
0.181197,0.6171
0.158787,0.6256
0.317862,0.6188
0.683896,0.6266
0.128791,0.6462
0.156345,0.6173
0.194662,0.6181
0.208563,0.6176
0.196653,0.6166
0.195381,0.6137
0.212801,0.6125
0.261077,0.6129
0.220447,0.6156
0.365972,0.6129
0.230019,0.6217
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.037130,0.6628
0.043526,0.6208
0.057347,0.6176
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.052056,0.6628
0.040100,0.6215
0.053538,0.6176
0.069794,0.6117
0.055591,0.6139
0.061608,0.6098
0.063054,0.6073
0.066857,0.6061
0.073815,0.6044
0.076503,0.6032
0.076230,0.6022
0.078122,0.6010
0.081662,0.6002
0.091935,0.5995
0.096291,0.5993
0.108362,0.5985
0.109620,0.5983
0.130100,0.5976
0.143943,0.5980
0.134018,0.5980
0.122829,0.5966
0.121981,0.5956
0.099335,0.5956
0.094849,0.5941
0.103823,0.5939
0.108978,0.5944
0.114878,0.5946
0.137349,0.5946
0.143643,0.5958
0.144475,0.5963
0.132714,0.5963
0.134100,0.5956
0.145223,0.5958
0.143388,0.5966
0.150725,0.5963
0.168888,0.5968
0.163582,0.5978
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.042596,0.6628
0.113205,0.6210
0.171851,0.6195
0.422073,0.6078
0.156321,0.6317
0.157512,0.6139
0.156013,0.6122
0.169094,0.6120
0.241426,0.6115
0.277626,0.6154
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.035161,0.6628
0.048696,0.6208
0.071203,0.6176
0.064136,0.6112
0.058004,0.6132
0.064319,0.6090
0.068408,0.6073
0.082328,0.6059
0.089772,0.6046
0.096952,0.6039
0.095238,0.6032
0.084276,0.6020
0.078668,0.6005
0.084329,0.5993
0.086931,0.5988
0.086534,0.5980
0.093395,0.5971
0.113851,0.5966
0.133938,0.5971
0.153704,0.5973
0.144659,0.5976
0.153356,0.5968
0.144118,0.5971
0.134583,0.5966
0.195284,0.5958
1.000000,0.5993
0.130665,0.6571
0.053851,0.6161
0.055346,0.6215
0.044690,0.6134
0.048576,0.6129
0.054473,0.6100
0.055488,0.6085
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.080308,0.6628
0.101078,0.6227
0.143112,0.6203
0.161584,0.6076
1.000000,0.6156
0.098107,0.6620
0.213501,0.6181
0.180070,0.6278
0.218738,0.6210
1.000000,0.6212
0.088539,0.6637
0.151036,0.6200
0.116488,0.6264
0.126030,0.6181
0.121898,0.6149
0.133660,0.6117
0.149755,0.6107
0.192973,0.6100
0.225441,0.6115
0.230371,0.6132
0.590718,0.6132
0.280929,0.6349
0.190800,0.6173
1.000000,0.6127
0.120850,0.6618
0.191475,0.6195
0.127674,0.6264
0.134067,0.6171
0.170746,0.6147
0.148520,0.6147
0.177646,0.6117
0.153028,0.6117
0.169881,0.6093
0.227882,0.6090
0.262942,0.6125
0.254845,0.6144
1.000000,0.6137
0.153215,0.6603
0.131225,0.6205
0.126941,0.6249
0.166562,0.6168
0.199975,0.6171
0.170275,0.6166
0.134535,0.6129
0.140445,0.6090
0.173613,0.6083
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.098975,0.6628
0.091182,0.6237
0.092204,0.6205
0.128761,0.6078
0.344526,0.6142
0.368596,0.6252
0.279463,0.6261
1.000000,0.6198
0.082806,0.6615
